,Wilayah,Jumlah,Meninggal,Hilang,Terluka,Menderita,Mengungsi,Rumah,Pendidikan,Kesehatan,Peribadatan,Fasum,Perkantoran,Jembatan,Pabrik,Kios,Jenis Bencana,Tahun,id
0,Aceh,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Banjir,2022,-7361914343317340834
1,Sumatera Utara,15,0,0,0,12953,35,786,3,0,0,0,0,0,0,0,Banjir,2022,7022483468689949935
2,Jambi,2,0,0,0,706,26,0,0,0,0,0,0,1,0,0,Banjir,2022,1434839203831965247
3,Sumatera Selatan,77,2,0,0,6410,2411,38,5,0,2,4,1,7,0,4,Banjir,2022,1152986368294826617
4,Bengkulu,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Banjir,2022,6707151426804437304
5,Lampung,54,0,0,1,2680,202,128,6,0,1,5,0,14,0,0,Banjir,2022,-2237867035127018343
6,Bangka Belitung,10,0,0,0,1340,792,200,0,0,0,0,0,0,0,0,Banjir,2022,4385162694952633444
7,Jawa Barat,38,0,0,3,24708,344,8,1,0,0,8,0,0,0,0,Banjir,2022,-873720095766913070
8,Jawa Tengah,212,2,0,0,1802,1847,741,8,0,0,0,1,14,0,0,Banjir,2022,6931356852243387125
9,Jawa Timur,66,2,0,5,23890,1280,9,3,0,0,0,0,5,0,0,Banjir,2022,-5035568372541753451
10,Nusa Tenggara Barat,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Banjir,2022,-442460528530503524
11,Kalimantan Barat,2,0,0,0,192,0,192,2,1,3,0,1,0,0,0,Banjir,2022,8769278319591566549
12,Kalimantan Tengah,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Banjir,2022,-6465550903487376701
13,Kalimantan Selatan,5,0,0,0,2835,502,0,0,0,0,0,0,0,0,0,Banjir,2022,4909453557574234031
14,Kalimantan Timur,8,0,0,0,6092,0,0,0,0,0,0,0,0,0,0,Banjir,2022,-4883576194230707606
15,Kalimantan Utara,7,0,0,0,0,342,1034,0,0,0,0,0,0,0,0,Banjir,2022,3783901620521971329
16,Sulawesi Utara,15,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Banjir,2022,-2239694979280701116
17,Sulawesi Tengah,47,1,0,1,0,1214,440,4,0,0,53,1,3,0,0,Banjir,2022,-1595071023492200089
18,Sulawesi Selatan,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Banjir,2022,6087345319465275653
19,Sulawesi Tenggara,19,0,0,0,5,81,10,0,0,0,0,0,0,0,0,Banjir,2022,409844527567612181
20,Papua,6,0,0,0,0,386,331,0,0,1,1,0,0,0,0,Banjir,2022,-3003481400203592830
